original_address,used_variant,lat,lon,result
"Cherry St & Eaton St, Cambridge, MA","Cherry St & Eaton St, Cambridge, MA",42.3644572,-71.0973138,PostGIS: Intersection cherry st & eaton st
"0 Mercer Cir, Cambridge, MA","0 Mercer Cir, Cambridge, MA",42.3769804427022,-71.12964874749963,Nominatim match
"Huron Ave & Sherman St, Cambridge, MA","Huron Ave & Sherman St, Cambridge, MA",42.3838642,-71.1293158,PostGIS: Intersection huron ave & sherman st
"Locke St & Shea Rd, Cambridge, MA","Locke Street & Shea Road, Cambridge, MA",42.3969686,-71.1276095,PostGIS: Intersection locke street & shea road
"300 Dudley St, Cambridge, MA","300 Dudley St, Cambridge, MA",42.39618415613399,-71.13013836744321,Nominatim match
"0 Hubbard Park Rd, Cambridge, MA","0 Hubbard Park Rd, Cambridge, MA",42.37681020905942,-71.13170465855313,Nominatim match
"0 Earhart St, Cambridge, MA","0 Earhart St, Cambridge, MA",42.371112882855925,-71.07450650745261,Nominatim match
"Banks St & Mount Auburn St, Cambridge, MA","Banks St & Mount Auburn St, Cambridge, MA",42.3705081,-71.1144397,PostGIS: Intersection banks st & mount auburn st
"First St & Cambridgeside Pl, Cambridge, MA","First St & Cambridgeside Pl, Cambridge, MA",42.3672378,-71.0777194,PostGIS: Intersection first st & cambridgeside pl
"300 Garden St, Cambridge, MA","300 Garden St, Cambridge, MA",42.38453628144058,-71.13085533134718,Nominatim match
"Reed St & Rindge Ave, Cambridge, MA","Reed St & Rindge Ave, Cambridge, MA",42.3934455,-71.1320439,PostGIS: Intersection reed st & rindge ave
"Fulkerson St & Cambridge St, Cambridge, MA","Fulkerson St & Cambridge St, Cambridge, MA",42.3719305,-71.0868754,PostGIS: Intersection fulkerson st & cambridge st
"Mount Pleasant St & Upland Rd, Cambridge, MA","Mount Pleasant Street & Upland Road, Cambridge, MA",42.3870606,-71.124707,PostGIS: Intersection mount pleasant street & upland road
"Mooney St & Cambridgepark Dr, Cambridge, MA","Mooney St & Cambridgepark Dr, Cambridge, MA",42.3942399,-71.1504092,PostGIS: False intersection mooney st & cambridgepark dr
"Otis St & Sixth St, Cambridge, MA","Otis St & Sixth St, Cambridge, MA",42.3709565,-71.0849507,PostGIS: Intersection otis st & sixth st
"Elmwood Ave & Traill St, Cambridge, MA","Elmwood Ave & Traill St, Cambridge, MA",42.3761417,-71.1373839,PostGIS: Intersection elmwood ave & traill st
"600 Mount Auburn Pl, Cambridge, MA","600 mount auburn, ma",42.37097625,-71.15865246595598,Nominatim match
"0 Bellis Ct, Cambridge, MA","0 Bellis Ct, Cambridge, MA",42.3894589272732,-71.13276759924844,Nominatim match
"Glenwood Ave & Magazine St, Cambridge, MA","Glenwood Ave & Magazine St, Cambridge, MA",42.3573766,-71.1129953,PostGIS: Intersection glenwood ave & magazine st
"Green St & Landsdowne St, Cambridge, MA","Green St & Landsdowne St, Cambridge, MA",42.3613451,-71.0984637,PostGIS: Intersection green st & landsdowne st
"Henry St & Brookline St, Cambridge, MA","Henry St & Brookline St, Cambridge, MA",42.3559021,-71.1095705,PostGIS: Intersection henry st & brookline st
"Charles St & Charles St, Cambridge, MA","Charles St & Charles St, Cambridge, MA",42.3554209,-71.0689839,PostGIS: Intersection charles st & charles st
"Brattle St & Mercer Cir, Cambridge, MA","Brattle St & Mercer Cir, Cambridge, MA",42.377678,-71.129306,PostGIS: Intersection brattle st & mercer cir
"Scouting Way & Harvard St, Cambridge, MA","Scouting Way & Harvard St, Cambridge, MA",42.368115,-71.101223,PostGIS: Intersection scouting way & harvard st
"400 Kendall St, Cambridge, MA","400 Kendall St, Cambridge, MA",42.36363150324997,-71.08199441106277,Nominatim match
"Palmer St & Brattle St, Cambridge, MA","Palmer St & Brattle St, Cambridge, MA",42.3733691,-71.1198973,PostGIS: Intersection palmer st & brattle st
"Columbia Ter & Columbia St, Cambridge, MA","Columbia Ter & Columbia St, Cambridge, MA",42.34559,-71.13049,PostGIS: Intersection columbia ter & columbia st
"Antrim St & Cambridge St, Cambridge, MA","Antrim St & Cambridge St, Cambridge, MA",42.3738145,-71.1013089,PostGIS: Intersection antrim st & cambridge st
"Harvard St & Moore St, Cambridge, MA","Harvard St & Moore St, Cambridge, MA",42.3655216,-71.0941272,PostGIS: Intersection harvard st & moore st
"Massachusetts Ave & Clarendon Ave, Cambridge, MA","Massachusetts Ave & Clarendon Ave, Cambridge, MA",42.399403,-71.132681,PostGIS: Intersection massachusetts ave & clarendon ave
"0 Auburn Pk, Cambridge, MA","0 auburn park, ma",42.39217037303341,-71.04288531376872,Nominatim match
"0 Walden Mews, Cambridge, MA","0 Walden Mews, Cambridge, MA",42.38776402620512,-71.12709291014632,Nominatim match
"Osborn St & Main St, Cambridge, MA","Osborn St & Main St, Cambridge, MA",42.3630994,-71.0952707,PostGIS: Intersection osborn st & main st
"0 Winthrop St, Cambridge, MA","0 Winthrop St, Cambridge, MA",42.37241285282268,-71.12103747308001,Nominatim match
"0 Gibson Ter, Cambridge, MA","0 gibson, ma",42.375559461619844,-71.13250803340003,Nominatim match
"Mount Auburn St & Winthrop St, Cambridge, MA","Mount Auburn St & Winthrop St, Cambridge, MA",42.3700111,-71.1674963,PostGIS: Intersection mount auburn st & winthrop st
"Kendall Sq Mbta Stat & Kendall Sq Mbta Stat, Cambridge, MA","kendall square & kendall square, ma",42.36325289561411,-71.08017006240875,PostGIS: Avg centroid of polygons kendall square & kendall square
"North Point Blvd & Earhart St, Cambridge, MA","north point & earhart, ma",42.3209625,-71.0441033,PostGIS: False intersection north point & earhart
"Porter Sq Mbta Stat & Porter Sq Mbta Stat, Cambridge, MA","porter square & porter square, ma",42.38853874956626,-71.11923717928893,PostGIS: Avg centroid of polygons porter square & porter square
"Putnam Ave & Pearl St, Cambridge, MA","Putnam Ave & Pearl St, Cambridge, MA",42.3582717,-71.1095868,PostGIS: Intersection putnam ave & pearl st
"0 Cambridge Common, Cambridge, MA","0 cambridge, ma",42.3656347,-71.1040018,Nominatim match
"Massachusetts Ave & Remington St, Cambridge, MA","Massachusetts Ave & Remington St, Cambridge, MA",42.3708225,-71.1138941,PostGIS: Intersection massachusetts ave & remington st
"Garden St & Walker St, Cambridge, MA","Garden St & Walker St, Cambridge, MA",42.379651,-71.124686,PostGIS: Intersection garden st & walker st
"0 Walker Ter, Cambridge, MA","0 Walker Ter, Cambridge, MA",42.380141539193794,-71.12262138557571,Nominatim match
"100 Cottage St, Cambridge, MA","100 Cottage St, Cambridge, MA",42.363132975970856,-71.10681051417676,Nominatim match
"Cambridge St & Prescott St, Cambridge, MA","Cambridge St & Prescott St, Cambridge, MA",42.375365,-71.1134133,PostGIS: Intersection cambridge st & prescott st
"Warren St & Jefferson St, Cambridge, MA","Warren St & Jefferson St, Cambridge, MA",42.372918,-71.088079,PostGIS: Intersection warren st & jefferson st
"0 Kendall Sq Mbta Stat, Cambridge, MA","0 Kendall Square Station, Cambridge, MA",42.363349549999995,-71.08029472925355,Nominatim match
"Huron Ave & Park Ave, Cambridge, MA","Huron Ave & Park Ave, Cambridge, MA",42.3789388,-71.1483347,PostGIS: Intersection huron ave & park ave
"Gore St & Monsignor Obrien Hwy, Cambridge, MA","Gore Street & Monsignor O'brien Highway, Cambridge, MA",42.3716832,-71.0781733,PostGIS: Intersection gore street & monsignor o'brien highway
"Hilliard St & Fuller Pl, Cambridge, MA","Hilliard St & Fuller Pl, Cambridge, MA",42.374447,-71.123161,PostGIS: Intersection hilliard st & fuller pl
"Franklin St & Landsdowne St, Cambridge, MA","Franklin St & Landsdowne St, Cambridge, MA",42.3609938,-71.0992764,PostGIS: Intersection franklin st & landsdowne st
